,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
217,2020-11-17,AMZN,3135.66,3135.66,3135.26,3189.25,3444735,0.1469151022337454
218,2020-11-16,AMZN,3131.06,3131.06,3072.685,3142.7,3808676,0.07191232449397694
219,2020-11-13,AMZN,3128.81,3128.81,3085.39,3141.7227,3762587,0.5957662975680564
220,2020-11-12,AMZN,3110.28,3110.28,3086.05,3175.88,4371208,-0.8640940399503941
221,2020-11-11,AMZN,3137.39,3137.39,3050.0,3139.145,4366923,3.3729596510072386
222,2020-11-10,AMZN,3035.02,3035.02,3019.4828,3114.0,6590956,-3.4583012590099633
223,2020-11-09,AMZN,3143.74,3143.74,3112.1057,3289.0,7190406,-5.062255199509572
224,2020-11-06,AMZN,3311.37,3311.37,3232.0,3322.0,4647330,-0.31998795906081
225,2020-11-05,AMZN,3322.0,3322.0,3288.88,3366.8,5789285,2.4941687543965787
226,2020-11-04,AMZN,3241.16,3241.16,3139.73,3244.85,6839041,6.322968367115972
227,2020-11-03,AMZN,3048.41,3048.41,2980.98,3074.9,4897880,1.462149856214714
228,2020-11-02,AMZN,3004.48,3004.48,2950.12,3079.705,7257350,-1.0430973436753805
229,2020-10-30,AMZN,3036.15,3036.15,3019.0,3167.0040000000004,8396081,-5.445638599692935
230,2020-10-29,AMZN,3211.01,3211.01,3164.0,3257.25,6596529,1.5249242754791674
231,2020-10-28,AMZN,3162.78,3162.78,3162.47,3264.02,5588330,-3.75951289127993
232,2020-10-27,AMZN,3286.33,3286.33,3211.3,3291.66,4291047,2.472373278786668
233,2020-10-26,AMZN,3207.04,3207.04,3153.3,3282.9799,5901151,0.08238671826238524
234,2020-10-23,AMZN,3204.4,3204.4,3140.0,3205.33,3466687,0.8815010703941568
235,2020-10-22,AMZN,3176.4,3176.4,3121.94,3198.75,4212005,-0.268136919376816
236,2020-10-21,AMZN,3184.94,3184.94,3160.0,3233.875,4592736,-0.99688841501892
237,2020-10-20,AMZN,3217.01,3217.01,3192.01,3266.0,4509678,0.30556153167395284
238,2020-10-19,AMZN,3207.21,3207.21,3192.735,3329.0,5223626,-2.0013994518304403
239,2020-10-16,AMZN,3272.71,3272.71,3160.0,3399.6606,6474353,-1.9750497955760578
240,2020-10-15,AMZN,3338.65,3338.65,3280.0,3355.88,5223448,-0.7450107173329432
241,2020-10-14,AMZN,3363.71,3363.71,3340.0,3464.88,5828916,-2.3208068230326737
242,2020-10-13,AMZN,3443.63,3443.63,3424.217,3492.38,5744697,0.020331519955394763
243,2020-10-12,AMZN,3442.93,3442.93,3339.55,3496.24,8364198,4.754993686580552
244,2020-10-09,AMZN,3286.65,3286.65,3197.83,3288.99,4907871,3.0120198711820816
245,2020-10-08,AMZN,3190.55,3190.55,3174.99,3233.2944,3174114,-0.16084163357521764
246,2020-10-07,AMZN,3195.69,3195.69,3132.385,3200.0,4309439,3.0881043626369378
247,2020-10-06,AMZN,3099.96,3099.96,3090.0,3182.0,5086857,-3.1020255063765876
248,2020-10-05,AMZN,3199.2,3199.2,3140.85,3202.53,3775332,2.3743999999999943
249,2020-10-02,AMZN,3125.0,3125.0,3123.0,3195.7965,5613098,-2.988271670091834
250,2020-10-01,AMZN,3221.26,3221.26,3172.0,3224.0,4971922,2.3034683824907245
251,2020-09-30,AMZN,3148.73,3148.73,3133.99,3212.88,4896101,0.12242120526061119
252,2020-09-29,AMZN,3144.88,3144.88,3132.54,3188.26,3503398,-0.9190151383878664
253,2020-09-28,AMZN,3174.05,3174.05,3117.1684,3175.04,4224165,2.5498121242080325
254,2020-09-25,AMZN,3095.13,3095.13,2999.0,3101.54,4615202,2.4948754714731867
255,2020-09-24,AMZN,3019.79,3019.79,2965.0,3069.3,5529392,0.664364337002388
256,2020-09-23,AMZN,2999.86,2999.86,2992.3759,3126.9990000000003,5652665,-4.1268907858446235
257,2020-09-22,AMZN,3128.99,3128.99,3000.2,3133.99,6948816,5.692339392055991
258,2020-09-21,AMZN,2960.47,2960.47,2871.0,2962.0,6117925,0.18816139916274763
259,2020-09-18,AMZN,2954.91,2954.91,2905.54,3037.8,8892580,-1.7887946076916228
260,2020-09-17,AMZN,3008.73,3008.73,2972.55,3029.4320000000002,6449050,-2.253662973912475
261,2020-09-16,AMZN,3078.1,3078.1,3074.15,3187.238,4531189,-2.4723316213210547
262,2020-09-15,AMZN,3156.13,3156.13,3108.92,3175.02,4021535,1.7131973560814417
263,2020-09-14,AMZN,3102.97,3102.97,3096.0,3187.39,4529596,-0.4251946268235234
264,2020-09-11,AMZN,3116.22,3116.22,3083.98,3217.3409,5093982,-1.8547388909360722
265,2020-09-10,AMZN,3175.11,3175.11,3170.55,3349.89,5330741,-2.8605431666671763
